readiness_id,source_review_download_id,combined_review_id,source_candidate_id,verification_row_id,candidate_origin,lane_id,lane_sequence,state,region,municipality,county,source_title,source_locator_or_url,final_canonical_locator,source_domain,source_family_hint,document_type_hint,source_review_priority,retained_file_path,retained_file_type,retained_file_size_bytes,retained_file_sha256,file_extension,detected_file_type,download_status,source_review_status,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes,file_integrity_status,page_count,pdf_encrypted_or_locked,pdf_has_text_layer_hint,html_text_readiness_hint,other_document_text_readiness_hint,readiness_status,readiness_reason
CBRDY-20260728-e504af0d690410f29ffa,CBSRD-20260728-baf2138cfc8fde904ed5,CBCR-20260728-03662,B4XPAR-20260727-003988,BCV-20260728-06018,broad_4x1000_deduped,readiness_lane_002,930,SD,Midwest,Springfield,Bon Homme County (46009; primary),Consent – 2023 Seasonal Employee Pay (City of Springfield),https://sdlocalgov.appssd.sd.gov/DownloadFile.ashx?FileID=684&preview=true,https://sdlocalgov.appssd.sd.gov/DownloadFile.ashx,sdlocalgov.appssd.sd.gov,mou_or_memorandum,memorandum_or_settlement,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-baf2138cfc8fde904ed5.html,html,13,07187c2085cee149892bff42f947d2fc29709c06a98fc4e2e7a254a55601630b,.html,html,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,,not_applicable,not_applicable,unreadable,not_applicable,corrupt_or_unreadable,html_empty_or_too_short
CBRDY-20260728-44f7513ea3b1325ebce9,CBSRD-20260728-86be8c9c4a39c6b75d3d,CBCR-20260728-01187,B4XPAR-20260727-001278,BCV-20260728-03146,broad_4x1000_deduped,readiness_lane_002,1004,TX,South,Gatesville,Coryell County (48099; primary),Employee handbook (Nov 2022 update),https://www.gatesvilletx.com/sites/default/files/fileattachments/finance_amp_human_resources/page/2232/employee_handbook_november_2022_update.pdf,https://gatesvilletx.com/sites/default/files/fileattachments/finance_amp_human_resources/page/2232/employee_handbook_november_2022_update.pdf,gatesvilletx.com,wage_schedule,ordinance_or_policy,high,docs/analysis/compensation_extraction/COMBINED-BROAD-SOURCE-REVIEW-DOWNLOAD-5589-PARALLEL-LANES-2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-86be8c9c4a39c6b75d3d.html,html,4,5744d937b622e575a6d3306de8bf148d7ec2d9241195263e2ee3ad6b8b15aad3,.html,html,downloaded_or_retained,retained,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,"Locked local-only readiness row; no extraction, OCR, rendering, rating, ingestion, codification, or analysis.",integrity_pass,,not_applicable,not_applicable,unreadable,not_applicable,corrupt_or_unreadable,html_empty_or_too_short
