relative_path,risk_type,occurrence_count,redacted_fingerprint,portable_replacement
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/02_AGGRESSIVE-NORMALIZATION-MATCHING/aggressive_mechanism_units.jsonl,absolute_home_path,38,c38d0343f16c,repository-relative or environment-configured path
docs/analysis/next_prompt_national_source_scan_2026-07-12.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/02_AGGRESSIVE-NORMALIZATION-MATCHING/aggressive_mechanism_units.csv,absolute_home_path,38,cc47293b4664,repository-relative or environment-configured path
docs/analysis/wave2_worker_3_il50_prep_prompt_2026-07-22.md,absolute_home_path,2,46df15556afd,repository-relative or environment-configured path
docs/analysis/national_batch01_ma_live_scout_rerun_review_2026-07-20.md,absolute_home_path,3,64d143c2d20b,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_worker_3_prep_prompt_2026-07-23.md,absolute_home_path,3,46df15556afd,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_retry_after_outer_timeout_fix_prompt_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/parallel_aggressive_3x300_serial_merge_prompt_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/gabriel_codify_interface_inspection_2026-07-08.md,absolute_home_path,1,cab80bdf57f2,repository-relative or environment-configured path
docs/analysis/parallel_aggressive_3x300_live_prompt_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/text_table_detection_pilots/TEXT-TABLE-DETECTION-FULL-PARSE-TEXT-2026-07-24/text_table_detection_pilot_manifest.json,absolute_home_path,8,a954f37ce1be,repository-relative or environment-configured path
docs/analysis/text_table_detection_pilots/TEXT-TABLE-DETECTION-PILOT1-150-2026-07-24/text_table_detection_pilot_manifest.json,absolute_home_path,6,e8ac02df9c12,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_tier_3_upheld.csv,absolute_home_path,38,ac0a01520b4c,repository-relative or environment-configured path
docs/analysis/parallel_checkpoint_3x160_serial_merge_prompt_2026-07-23.md,absolute_home_path,1,fe9fc7c2ca5a,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-1000DOC-2026-07-25/compensation_extraction_1000_packet_manifest.csv,absolute_home_path,112,f4339e179501,repository-relative or environment-configured path
docs/analysis/parallel_round2_3x150_live_prompt_2026-07-23.md,absolute_home_path,1,9d4278b2f6e8,repository-relative or environment-configured path
docs/analysis/gabriel_state_source_scout_cost_log.csv,absolute_home_path,3,7f55a88be70f,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promotion_manifest.json,absolute_home_path,1,d46e90f03f2b,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-PIPELINE-HARDENING-READINESS-ACCELERATOR-2026-07-25/pipeline_readiness_master_blocker_registry.csv,absolute_home_path,17,01e282578b29,repository-relative or environment-configured path
docs/analysis/tier1_worker_1_prep_prompt_2026-07-22.md,absolute_home_path,3,4def2c4747e3,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/07_EXTERNAL-DATA-FIELD-SPAN-EXTRACTION/runtime_recovery/runtime_recovery_manifest.json,absolute_home_path,1,700a13d268b8,repository-relative or environment-configured path
