duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-01d3981a6f30621e50c37520,EXTCAND-402ddf4c62db89e05ba11d35,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-fd8805a04c645422a83d7303,EXTCAND-4e0e63527b63a025d32ab010,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-cc5e4916f114c98e008a7e3e,EXTCAND-c78fb10ba76a96184ec108d7,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e3e296f4b875e009cd193d86,EXTCAND-e90dd0ebae1ce0e3b36f06fa,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-7bc4e70e90b672a8fd3cd05c,EXTCAND-363bd40c2199787a974bca28,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-329a16365ea8853fdbd70fa9,EXTCAND-91ae0fa7e563bd48fc2e297c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-dc97126efc90504e0232c129,EXTCAND-876e0513eacf84cb1396edff,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-44734c4ee8b316ebf9c8c473,EXTCAND-5e883255446e2267e795968f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-316e9859636433985e00e772,EXTCAND-a3f6b5baf9780ee478056fe4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-8f3adab5d8f68375e9db0015,RESCAND-8f3adab5d8f68375e9db0015,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9e0d848ddefbea4fb586fcd8,RESCAND-9e0d848ddefbea4fb586fcd8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-2feb478256fc60e0ef72fc56,EXTCAND-d13104150cca0603c50f5aac,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-147a0b29c84ba0d584834569,EXTCAND-d756cac93f0cce9c73d6eda8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-25908b397c72af4a2c87d46c,EXTCAND-8724f39136565c404dfbd102,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-62b7487582a0eb69bbd521e4,EXTCAND-fd8ca067cacce7c66d00a858,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-21453fc0c0d16f84fe649f65,EXTCAND-24bf652b8d8156e8f483635a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ab1c73a698f4fa45f751225f,EXTCAND-393b0541018f663f5469fb50,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b9a8928e9e4f0efcd43a2ba4,EXTCAND-7aa0afa5d4700c31e863b137,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-fce4da38d12629fabf412cb0,EXTCAND-57a86352a84f0cddf3ba1f93,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-a2745450174ed420d30448e1,EXTCAND-5e883255446e2267e795968f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b2532b87fe7fecb0114b6329,EXTCAND-3116c9e0a8f4e1c2fd2842bf,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-2feb478256fc60e0ef72fc56,EXTCAND-d13104150cca0603c50f5aac,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-aaae8ad839fdc0d3a8ae604f,RESCAND-aaae8ad839fdc0d3a8ae604f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-25908b397c72af4a2c87d46c,EXTCAND-8724f39136565c404dfbd102,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
