source_domain,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
azusaca.gov,2,0,0,0,0,2,false
b860633f-5969-426d-b701-88ff5ee4d400.filesusr.com,1,1,0,1,0,0,false
baldwinpark.com,3,0,0,0,0,3,false
ballotpedia.s3.amazonaws.com,2,2,0,2,0,0,false
baltimoreohio.org,2,2,1,1,0,0,false
bandon-or.gov,4,1,1,0,0,3,false
barboursville.community.diligentoneplatform.com,1,1,0,1,0,0,false
barharbormaine.gov,1,1,1,0,0,0,false
barlingar.gov,3,0,0,0,0,3,false
barnstead.org,3,2,0,2,0,1,false
barnunnwy.gov,5,3,2,1,0,2,false
barrington-il.gov,3,3,3,0,0,0,false
barrington.nh.gov,4,4,4,0,0,0,false
barrington.ri.gov,3,0,0,0,0,3,false
barringtonboro.com,2,2,2,0,0,0,false
bartonvt.com,1,1,0,1,0,0,false
basalt.net,3,0,0,0,0,3,false
bataviail.gov,2,0,0,0,0,2,false
batesburg-leesville.org,3,0,0,0,0,3,false
batesville.ms,2,2,0,2,0,0,false
batesvillearkansas.gov,2,0,0,0,0,2,false
batesvilleindiana.us,2,2,2,0,0,0,false
batesvillepolicear.gov,1,1,1,0,0,0,false
baxtermn.gov,1,0,0,0,0,1,false
baxterspringsks.gov,2,2,1,1,0,0,false
baycitytx.gov,4,0,0,0,0,4,false
bayfieldgov.org,2,0,0,0,0,2,false
bayharborislands-fl.gov,3,1,1,0,0,2,false
bcato.org,6,5,1,4,0,1,false
bcutah.gov,3,3,0,3,0,0,false
beachnd.com,3,1,0,1,0,2,false
bearriverwy.gov,1,1,1,0,0,0,false
beaumontca.gov,1,0,0,0,0,1,false
beaverfallspa.org,1,1,0,1,0,0,false
beaverton.k12.or.us,2,2,0,2,0,0,false
beavervalleyfop.org,3,3,3,0,0,0,false
bedford.in.gov,2,0,0,0,0,2,false
bedford.in.us,1,0,0,0,0,1,false
bedfordma.gov,1,1,0,1,0,0,false
bedfordnh.gov,4,0,0,0,0,4,false
bedfordva.gov,1,0,0,0,0,1,false
beebeark.org,2,2,2,0,0,0,false
beevilletx.gov,3,3,0,3,0,0,false
belchertown.org,3,0,0,0,0,3,false
belgrademaine.gov,3,2,2,0,0,1,false
belleairfl.legistar.com,1,1,0,1,0,0,false
bellefonte.net,2,2,0,2,0,0,false
belleplaine.granicus.com,1,1,1,0,0,0,false
bellevillewi.gov,3,3,3,0,0,0,false
bellevueky.org,1,1,1,0,0,0,false
bellinghamma.org,7,0,0,0,0,7,false
bellmawr.com,2,2,2,0,0,0,false
belmont-ma.gov,2,0,0,0,0,2,false
belmontnh.gov,2,2,2,0,0,0,false
beltontexas.gov,3,3,0,3,0,0,false
belvidereil.gov,3,0,0,0,0,3,false
benbrook-tx.gov,4,1,0,1,0,3,false
bennettsvillesc.com,3,3,0,3,0,0,false
benningtonne.com,3,3,0,3,0,0,false
bensenville.gov,4,0,0,0,0,4,false
benton.ky.gov,4,4,3,1,0,0,false
bentonchartertwp.org,3,3,2,1,0,0,false
bentonil.com,2,2,0,0,2,0,false
benwoodwv.gov,1,1,1,0,0,0,false
bereaky.gov,3,0,0,0,0,3,false
berkeleyheights.gov,3,3,0,3,0,0,false
berkeleymo.us,3,3,3,0,0,0,false
berlinct.gov,3,3,2,1,0,0,false
berlinnj.org,1,1,0,1,0,0,false
bernardsville.gov,2,2,2,0,0,0,false
berthold-nd.gov,1,1,1,0,0,0,false
berwynheights.granicus.com,1,1,1,0,0,0,false
bessemeral.org,1,0,0,0,0,1,false
bestiowatown.com,2,2,1,1,0,0,false
bethel-oh.gov,2,2,2,0,0,0,false
bethlehem-pa.gov,1,0,0,0,0,1,false
biglakemn.org,2,1,1,0,0,1,false
bigstonegap.org,1,1,1,0,0,0,false
billerica.gov,1,0,0,0,0,1,false
bisbeeaz.gov,2,0,0,0,0,2,false
blackdiamondwa.gov,3,0,0,0,0,3,false
blackriverfallswi.gov,1,0,0,0,0,1,false
blades.delaware.gov,2,2,2,0,0,0,false
blairne.gov,1,0,0,0,0,1,false
bloomfieldct.gov,5,0,0,0,0,5,false
bloomingtonil.gov,6,0,0,0,0,6,false
bloximages.chicago2.vip.townnews.com,2,1,1,0,0,1,false
bloximages.newyork1.vip.townnews.com,1,1,0,1,0,0,false
boerne.legistar.com,1,1,0,1,0,0,false
bogotaonline.org,1,1,1,0,0,0,false
bolivar.mo.us,2,0,0,0,0,2,false
bolivarwv.org,2,1,0,1,0,1,false
bonnersferry.id.gov,3,0,0,0,0,3,false
bonnersprings.org,2,1,1,0,0,1,false
boonegov.com,1,1,0,1,0,0,false
booneville-ms.gov,1,1,1,0,0,0,false
boonton.org,3,0,0,0,0,3,false
boonvillemo.org,1,0,0,0,0,1,false
boonvillemo.portal.civicclerk.com,1,1,0,1,0,0,false
boothbayharbor.org,1,1,1,0,0,0,false
