extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-bfa14d70ca39e83720a90ce7,EXTPAYLOAD-cfa24bb7b378af0bfbc32fae,RESCAND-56ec0d839a9220e7e7ff8ebe,readiness_preserved_lineage
EXTEXTRACT-3a548dc20cfbb4169bbf3d59,EXTPAYLOAD-cfa5b75147f31f0803534e69,EXTCAND-52283edc45a3c3598d2385eb,readiness_preserved_lineage
EXTEXTRACT-aefc4a36e8e51bf7bf1c3a51,EXTPAYLOAD-cfaa65a0841cebee36e04658,RESCAND-dbb0bf5d0e0d81a40901513e,readiness_preserved_lineage
EXTEXTRACT-5c58cabb150e595791a92f66,EXTPAYLOAD-cfba96a2f1f1246be2999d93,EXTCAND-1a13e8f9a59cafb6710d555b,readiness_preserved_lineage
EXTEXTRACT-cd6bee41a790a55525e2637b,EXTPAYLOAD-cfbf46872a562bd7e4b3c6b9,RESCAND-8a8dda9fa97028ad669e453e,readiness_preserved_lineage
EXTEXTRACT-7a41fa52bf49fb0f384903c5,EXTPAYLOAD-cfc051463eb46c9c4ce6edf7,RESCAND-1e0c686006e06fbf62ef0c72,readiness_preserved_lineage
EXTEXTRACT-07fbfd1a4e5f68abc4e77000,EXTPAYLOAD-cfc42983651dce0cb4fd0e00,RESCAND-58e6b7b87dd63057eec7c9c8,readiness_preserved_lineage
EXTEXTRACT-9c67d5e097b58fa0d256e7b6,EXTPAYLOAD-cfc59385930049a0feac58c8,EXTCAND-7822ea0d247492eab4574270,readiness_preserved_lineage
EXTEXTRACT-d9b7761b27d82f8bcde9a74e,EXTPAYLOAD-cfd1558bb02e735a2bb88a0f,EXTCAND-d99e56547d73daf2879c6116,readiness_preserved_lineage
EXTEXTRACT-e57a25120846025aa48ce1d4,EXTPAYLOAD-cfd15b7c4777fc859f5e825d,RESCAND-962d9ca8e7833de113e7a267,readiness_preserved_lineage
EXTEXTRACT-f9c0cd8aab5fcd7858cdd123,EXTPAYLOAD-cfd19f01991ce916f9d9db85,EXTCAND-4b69a54c8903781d2ef87c8c,readiness_preserved_lineage
