extraction_result_id,canonical_payload_id,candidate_id,linkage_basis
EXTEXTRACT-63900e3a46e1e8b2f657d621,EXTPAYLOAD-00b6f11cdc648372e82e9fda,RESCAND-5c78a9a4439babcdfe88aa6e,readiness_preserved_lineage
EXTEXTRACT-ca19e36fb035c5291d538a44,EXTPAYLOAD-00b6f2731a31e347468531e1,RESCAND-d38cc34c06e4c4a1285faae8,readiness_preserved_lineage
EXTEXTRACT-189b6bae3ab1bef4b0b0581c,EXTPAYLOAD-00b90a2915c1f737e3222770,EXTCAND-9b6d601fdbabc3fa2aa7ce45,readiness_preserved_lineage
EXTEXTRACT-7ca6447f087046fea6d0d4fc,EXTPAYLOAD-00c106b56c3fab0363bafbdb,RESCAND-9c952fe14e44bbe024135a6f,readiness_preserved_lineage
EXTEXTRACT-529df2362cdd8969e783a7b3,EXTPAYLOAD-00c82f29fc8c3c5cb8d7eb7c,RESCAND-5a6e4d0f3655f13738e76509,readiness_preserved_lineage
EXTEXTRACT-f0f6f3ad5f18900271517b1b,EXTPAYLOAD-00caec74931993099b10c52d,RESCAND-e733a3e454bb093c398c1515,readiness_preserved_lineage
EXTEXTRACT-8ead4055053958e67e129463,EXTPAYLOAD-00dbee82ff0988263847740a,EXTCAND-75046cb249acdb782896c9d9,readiness_preserved_lineage
EXTEXTRACT-c8accb0f2914a0c53f0f0545,EXTPAYLOAD-00e01a90a7df1d6736e6c30d,RESCAND-e5f6b583ded951b9d94ac23b,readiness_preserved_lineage
EXTEXTRACT-84715dcad193b9e06b520d6e,EXTPAYLOAD-00e6dbf90850f05b3896d517,EXTCAND-a02bd5880c3ca09bcf5318a3,readiness_preserved_lineage
EXTEXTRACT-4d919a4cfe6a3a51baaa4b71,EXTPAYLOAD-00e979ffd516b3681b9e0036,EXTCAND-83230adff80587fda3fa25d0,readiness_preserved_lineage
EXTEXTRACT-69e2224063cdb1b10c2494ae,EXTPAYLOAD-00f2cebf3d25f4244f906c33,EXTCAND-45bfaddb750d468071279cb9,readiness_preserved_lineage
EXTEXTRACT-0191636aa545d6f06917f625,EXTPAYLOAD-00f3b6b4ae9d675d81b9530d,RESCAND-6313aa9e92bb1fe39b372367,readiness_preserved_lineage
EXTEXTRACT-f043f0ce426459329398a8ae,EXTPAYLOAD-00f6f8d7bbc8920ff3621c81,EXTCAND-9b6a9659278f658374211c11,readiness_preserved_lineage
EXTEXTRACT-4da6c571e5f98426436925b1,EXTPAYLOAD-01009107b6b3f35ff8ac0e3d,RESCAND-642d68c858969cf956fd1863,readiness_preserved_lineage
EXTEXTRACT-b74f711f739b5caabe3f39c9,EXTPAYLOAD-010f89e234e564aad1cf7334,EXTCAND-0856b4c38c248cbac2455321,readiness_preserved_lineage
EXTEXTRACT-c5f8e025499d05a21a5a1adb,EXTPAYLOAD-0110b924b486aa38c049dc5f,EXTCAND-a9d012aa9c8dcb338dd733f3,readiness_preserved_lineage
EXTEXTRACT-9223911c7a6c84ef18fbd467,EXTPAYLOAD-01125b58a67e2676d85db34d,EXTCAND-3a4688e9b82ae31225ed1731,readiness_preserved_lineage
EXTEXTRACT-dc952194705952051200a384,EXTPAYLOAD-011289c779f8d4cebcccfd61,RESCAND-46d7d26481de559f7f7fc328,readiness_preserved_lineage
EXTEXTRACT-10c7cfbc22215ec30958878c,EXTPAYLOAD-01167a717375bbfc0229baeb,RESCAND-a64246ab26fb4ec1272f106d,readiness_preserved_lineage
