municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Berkeley Heights,3,1,2,4038,false
Berlin,5,5,0,6450163,false
Bernardsville,2,2,0,2258383,false
Berthold,1,1,0,31195,false
Berwick,6,5,1,8585334,false
Berwyn,1,1,0,881905,false
Berwyn Heights,1,0,1,0,false
Bessemer,1,0,1,0,false
Bethel,3,2,1,86167,false
Beulah,1,1,0,129180,false
Beverly Hills,3,3,0,9398913,false
Big Lake,1,1,0,23753567,false
Big Rapids,1,1,0,346180,false
Big Sandy,2,2,0,231364,false
Big Spring,1,1,0,10198191,false
Big Stone Gap,2,1,1,203088,false
Bishopville,1,0,1,0,false
Black Jack,2,2,0,133009,false
Black River Falls,1,1,0,36797839,false
Blackfoot,1,1,0,98158,false
Blades,2,2,0,897451,false
Blakely,1,1,0,2768528,false
Blanchard,1,1,0,68265,false
Bloom,1,1,0,72697,false
Bloomer,2,2,0,256013,false
Bloomfield,5,5,0,556289,false
Bloomington,1,1,0,1100357,false
Bloomington City,1,1,0,373614,false
Blue Ash,2,2,0,1198861,false
Bluefield,2,0,2,0,false
Blythe,6,6,0,1027497,false
Blythewood,1,1,0,42405869,false
Boardman,5,5,0,10831843,false
Boerne,2,1,1,97910,false
Bogota,1,1,0,9236216,false
Bolivar,4,4,0,3869320,false
Bonner Springs,1,0,1,0,false
Boone,1,1,0,1802547,false
Booneville,4,4,0,1099922,false
Boonsboro,3,3,0,1832150,false
Boonville,3,1,2,1004714,false
Boothbay,1,1,0,107973,false
Boscawen,3,3,0,583010,false
Boscobel,2,2,0,999544,false
Bottineau,1,1,0,28110,false
Boulder,1,1,0,40779,false
Bourbonnais,2,2,0,399811,false
Bourne,1,1,0,118050,false
Bowers,1,1,0,78880,false
Bradford,6,6,0,4150843,false
Bradley,3,3,0,9222190,false
Brandenburg,1,1,0,129632,false
Brandon,1,1,0,1364513,false
Brattleboro,2,2,0,186080,false
Brazil,3,3,0,223012,false
Breaux Bridge,2,1,1,248211,false
Bremen,1,0,1,0,false
Brenham,2,2,0,12309129,false
Brentwood,5,4,1,45963188,false
Brewster,1,1,0,155514,false
Briarcliff Manor,2,2,0,905337,false
Bridgeport,3,3,0,1273217,false
Bridger,1,1,0,3917078,false
Bridgeview,2,2,0,2793245,false
Bridgeville,3,3,0,639054,false
Bridgewater,3,3,0,238338,false
Bridgton,2,2,0,1433168,false
Brier,1,1,0,2236471,false
Brigham City,3,3,0,3931072,false
Brighton,5,5,0,40681371,false
Bristol,6,5,1,31179372,false
Bristow,3,3,0,408649,false
Britton,1,1,0,131187,false
Broadus,2,2,0,583576,false
Broadway,1,1,0,1523127,false
Brockport,2,2,0,6475050,false
Brodhead,1,1,0,5307423,false
Broken Bow,2,2,0,16177721,false
Brookfield,10,10,0,55026034,false
Brookhaven,4,4,0,5516018,false
Brookland,2,2,0,235780,false
Brookline,4,4,0,1747166,false
Brooklyn,1,1,0,104372,false
Brownstown charter,1,1,0,956753,false
Brownsville,1,1,0,27672,false
Brownwood,2,2,0,1200494,false
Brunswick,4,4,0,4410483,false
Brush,1,0,1,0,false
Brusly,1,1,0,177799,false
Buckeye,1,1,0,4474,false
Buckhannon,3,3,0,14800642,false
Buckingham,2,2,0,10046774,false
Buckley,1,1,0,96953,false
Bucksport,1,0,1,0,false
Bucyrus,1,1,0,591031,false
Buena Vista,5,5,0,8571089,false
Buffalo,3,3,0,108864,false
Buffalo Grove,1,1,0,110982,false
Buford,3,2,1,2716164,false
Buhl,2,2,0,440531,false
Bullhead City,3,1,2,5219027,false
Burbank,1,1,0,1426971,false
Burlington,5,5,0,2088383,false
Burns,1,1,0,1384368,false
Burnsville,3,1,2,449229,false
Burr Ridge,2,2,0,52510099,false
Burrillville,2,2,0,7564414,false
Butler,5,5,0,2530971,false
Buxton,1,1,0,1095148,false
Byhalia,1,1,0,117247,false
Byron,2,2,0,7920982,false
Cadillac,3,2,1,13654590,false
Cahokia Heights,1,1,0,47709,false
Calais,2,2,0,77484,false
Caldwell,1,1,0,107529,false
Caledonia,3,3,0,4931553,false
Calera,3,3,0,908687,false
Calhoun,3,3,0,4158070,false
Caliente,1,1,0,50042,false
California City,4,1,3,1527426,false
Calimesa,3,3,0,812895,false
Calumet,2,2,0,3400588,false
Cambridge,1,1,0,2098765,false
Camden,4,4,0,20092157,false
Cameron,2,2,0,3279616,false
Camillus,3,3,0,2550157,false
Camp Hill,1,1,0,157537,false
Camp Verde,1,0,1,0,false
Campton,2,2,0,4799477,false
Canandaigua,3,3,0,1942704,false
Cando,2,2,0,1028997,false
Canfield,2,2,0,3964281,false
Cannon Falls,1,1,0,147841,false
Canton,4,4,0,8612425,false
Canyon Lake,2,2,0,1646076,false
Canyonville,3,3,0,24270760,false
Capitan,1,0,1,0,false
Carefree,2,2,0,4196241,false
