target_mechanism_family,download_queue_rows,retained_sources,excluded_or_deferred,retained_bytes,coverage_boundary
fiscal_constraint_signal,145,129,16,424584849,retained_source_files_not_extracted_or_rated_evidence
market_or_comparability_pressure,92,81,11,179649469,retained_source_files_not_extracted_or_rated_evidence
non_safety_constraint_signal,142,126,16,261538003,retained_source_files_not_extracted_or_rated_evidence
strike_or_no_strike_constraint,177,127,50,218072324,retained_source_files_not_extracted_or_rated_evidence
