completed_at,figure_id,png,started_at,status,svg,thumbnail
2026-08-06T05:56:03.015242+00:00,F04,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f04.png,2026-08-06T05:56:02.897640+00:00,accepted,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f04.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f04_thumb.png
2026-08-06T05:56:03.164656+00:00,F05,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f05.png,2026-08-06T05:56:03.015474+00:00,accepted,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f05.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f05_thumb.png
2026-08-06T05:56:03.383797+00:00,F06,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/png/f06.png,2026-08-06T05:56:03.164904+00:00,accepted,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/svg/f06.svg,docs/dashboard/public/reports/whole_corpus_visual_review_2026-08-06/assets/thumbnails/f06_thumb.png
