canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
EXTCAND-400d570999f69a2db2b1725d,EXTLOC-786b391ce22361af17e4fe1e,,
RESCAND-c922245da5a2aaadcdd15c97,EXTLOC-885455c240457b2702ea0b29,,
RESCAND-fe74769cc2a0ad8985cd3590,EXTLOC-6db1d9f7151f63b9ea5e168e,,
EXTCAND-98a5041078dda6817f049fa9,EXTLOC-ed478eeb55e7bf29edcc1d49,,
RESCAND-d522224802d0c750b3b5d0d6,EXTLOC-ed478eeb55e7bf29edcc1d49,,
RESCAND-30f6aaf774a3a5fc8eb3e6f2,EXTLOC-ef91681cc0243d3ca5c971f0,,
RESCAND-bcbd41850bedf94fe775fa4f,EXTLOC-54c23a733b5d6404a556824a,,
RESCAND-c63228a040acd3cb3658e757,EXTLOC-efdc2c5204cae8f2ea3cc659,,
EXTCAND-3fa5f54aa02d8d8e6f1fbe93,EXTLOC-c05dcedafc9414870f356ec3,,
RESCAND-c49bf67572f1bc5abe12794d,EXTLOC-167a55604191a26ebe867a5b,,
RESCAND-8b43177091ee68b7f10fd26d,EXTLOC-322a4cde76a81144e56cf4eb,,
RESCAND-aff3c933ab9655c205e4a17b,EXTLOC-4ef1d095f3b92dc00d2d5429,,
RESCAND-5d44cd3ea3c6ed25fb65256b,EXTLOC-15e9af4d4a23291afbd5b7d3,,
RESCAND-bd28a465d0af8bf424617048,EXTLOC-9f7263750855d48a6292f14c,,
RESCAND-228b9d15f9067b7ebf407640,EXTLOC-77e988e8591583f7ee98e4d9,,
EXTCAND-851ce32c9b10c62ab812d8b5,EXTLOC-5b3a8d00fd4712911efc83a1,,
RESCAND-75ba524bfc792942eedec748,EXTLOC-80ab948654b8731c8ebde243,,
EXTCAND-07cc30316ac313134a5917d6,EXTLOC-f5f6ce377779cb72a2703af4,,
EXTCAND-a9c12816aa90a3ad37636dfc,EXTLOC-93f750ff55e0cf210042def1,,
RESCAND-25cf29fb6e617a7e96d4d98c,EXTLOC-0fc9988736ece56916d6dfcb,,
RESCAND-a3c2f7a3c1657c8554824102,EXTLOC-37e7035dbea177e2f1597b9d,,
RESCAND-f3091e58873a6766a71c4180,EXTLOC-123e48ce6045f6a0b49b68e7,,
RESCAND-a645a10c124bc65ee69b5424,EXTLOC-e13f0af6d05c80b2235ebd88,,
RESCAND-0ac102beffecc01004da03c3,EXTLOC-bd0dd865f28744ec1bf48e3f,,
RESCAND-f54ec8dbffd324f761f6eeb4,EXTLOC-1e5daeb09a86c3ca06944a4d,,
EXTCAND-7e0208f71ca2d7bb5e76b299,EXTLOC-b20e85567a84f5ea96a45486,,
RESCAND-79df2c225cb3d3c2b7c4e81c,EXTLOC-ca56274d02733c2565a44525,,
EXTCAND-1f7a33fde83dc352470158f5,EXTLOC-2c21fc50f3fa04d22c2c39ea,,
RESCAND-56670f5dc86ad089303f4ebb,EXTLOC-8682ecf423af4c480eebd9e7,,
RESCAND-cb3a5ca9b770312015f866fc,EXTLOC-93a00c186bcdbb4593443455,,
RESCAND-eab0631acf751b051e8f569f,EXTLOC-dbf603827eb6054d62670aac,,
RESCAND-e97084b4f35cfe011eaffe3f,EXTLOC-7f4e76542b56ede445f5db54,,
RESCAND-693575aede45d970e4eedc4f,EXTLOC-173aa0138440d8a4a6e114b3,,
RESCAND-979168067e59e1a91c7517c7,EXTLOC-316937643be59ee4d5ccb88b,,
RESCAND-ebab49df2c0e7e8c306e473d,EXTLOC-1c418df2958102417cd55ee2,,
RESCAND-dee3183dab8a777facf6c817,EXTLOC-dc843b818b43abf15f5316de,,
EXTCAND-5f9078941f0e7c22726e2fd6,EXTLOC-02be027d16902cf562ef2153,,
EXTCAND-07eb4d50ecfef0c1236400ce,EXTLOC-b87276d9ad30a28843eca813,,
RESCAND-5b9ccf73ac54e66183b0c802,EXTLOC-2346ce7e490faacff8cf3556,,
RESCAND-03db5f8678ac39b3604f92b8,EXTLOC-866f5d0d83ea85f5a47a2307,,
EXTCAND-ec6f2d268fde216cd22ef74b,EXTLOC-70453fe77c30e03aa669a1ef,,
RESCAND-763291b00056383d9d082cc5,EXTLOC-593613b112f33a7c9da11d4d,,
RESCAND-0e478965ff8a845dab391dca,EXTLOC-eb78138713a360eb30cd6753,,
RESCAND-cdd1b82691f13a1147b3a3ec,EXTLOC-d6f3ccbe5bb15dbabdf6f9e8,,
RESCAND-9082a91fd9f399a65f50ce93,EXTLOC-c84070142543fa6762fbd6ad,,
EXTCAND-e91322e4d34766b9f883f7e5,EXTLOC-a42fc10e5b2c036bf72576b4,,
RESCAND-19ec65d0c8ff26d48e24650b,EXTLOC-b619622331691cdcb70f0f67,,
RESCAND-14ca84ae785af92898de5530,EXTLOC-14104d3c1c772cae6d8c6f06,,
RESCAND-8f991f0045caabf6c10d7951,EXTLOC-9d6d3fc62b3812ee5353d862,,
RESCAND-8595d6657a98ab301662e6ec,EXTLOC-0ee6d3460ce61ee3dfc23939,,
RESCAND-2f59eb98317719addc67a677,EXTLOC-25b401e9878705354e3c1974,,
