shard_id,pointer,row_count,bytes,sha256,ledger,lane_id
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0004.jsonl.gz,2241,104504,7484c1d1b554b55ab1dc5930c5ee42970c23b57b6498f400fef2881e8d33127d,conflicts,ingestion_lane_002
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0005.jsonl.gz,6572,229633,46d8bc70df3833bb08b9197b43c232fceb2c9a26cf8f448fda68ae64f7f27436,conflicts,ingestion_lane_002
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0006.jsonl.gz,1001,39049,c90f0392205ab259327e9ecc053185ed5a76d5563190008a93e6d73c6226d5e7,conflicts,ingestion_lane_002
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0007.jsonl.gz,386,19539,e6df2bcc3c98c03c3e979e9d775505d71aadd8b90d3144523c242962baf7913b,conflicts,ingestion_lane_002
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0008.jsonl.gz,3686,138684,ba591606d36da5fb79fb95b2a3b0e3502a38ad3b35ccf3e4fa6d41faf867d156,conflicts,ingestion_lane_002
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0009.jsonl.gz,8600,303848,695d51a6ac7be17ae6efd0e73fc367443cfe4541b1a2c6afb51b6cbe3969ea14,conflicts,ingestion_lane_002
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0010.jsonl.gz,10733,381601,10778b7f2372ccd626357ff9d46fd9086e2ce18e2f5baf71817d2d073d3dddfb,conflicts,ingestion_lane_002
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0011.jsonl.gz,4072,154568,fa6d4b79dc501e19b0e24042371af016ffa842030e58779aee1b0a0d53772deb,conflicts,ingestion_lane_002
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0012.jsonl.gz,458,22967,27b2c233fc103ea98a1c2bc364ef553706f41f31739eac8994ffe150c912940e,conflicts,ingestion_lane_002
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0013.jsonl.gz,10528,366674,fc5feb1abc7cb2512b4992cb3c94452d3d29a1db1ac4469f1036de219b4df06d,conflicts,ingestion_lane_002
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0014.jsonl.gz,3800,136274,2a26fbbdd790869e79d2af216e7862619f1b203d644e403861ea5ecd10fa84cc,conflicts,ingestion_lane_002
observation_shard_0015,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_002/conflicts/observation_shard_0015.jsonl.gz,1,377,310e3d35ea39744513eb9923744d5a66bba529c635232f4462ce9632eb8ea2ae,conflicts,ingestion_lane_002
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0000.jsonl.gz,462,21981,f6ec5d449d591bcff3325d7e7f19cdbd9fff84bb1e497f04557d568cab9ee1c2,conflicts,ingestion_lane_003
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0001.jsonl.gz,260,14371,42d236b4a283fba557c3229145cf47a32d55522b1582cc3ce086ead7790ce51e,conflicts,ingestion_lane_003
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0002.jsonl.gz,380,18776,527d2ab6a8c9aa058475bfee349645d9c3c2d1afb8c4dc8bfc87c732fbae5ab9,conflicts,ingestion_lane_003
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0003.jsonl.gz,198,8828,669d5e08d80902cbbd195b2026efce2a67f70a60566ba3caf201391f0c1c80de,conflicts,ingestion_lane_003
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0004.jsonl.gz,2236,104399,9e1111fd89453f2392574fc78d148fc801d48cff77227c37d1684529349d0b3d,conflicts,ingestion_lane_003
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0005.jsonl.gz,6567,229450,9ab8bcd3b24a5498ffc421a0d503a07d02039c268202e1378444a992710ed32c,conflicts,ingestion_lane_003
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0006.jsonl.gz,1000,38174,bb02c60c74229c6337c316be5a7fb9ac4f11c8d0ba82d5a590ae91e30a67cd5f,conflicts,ingestion_lane_003
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0007.jsonl.gz,384,18599,833a4160c891fe8e4e10d16bd22d09a29bca9098a0bfe4d2bde480490ad8116e,conflicts,ingestion_lane_003
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0008.jsonl.gz,3685,138876,01295728f0a338fb2d7386258aa5059e7705e27f922d48f1783321e7238667f2,conflicts,ingestion_lane_003
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0009.jsonl.gz,8596,303728,49059d316ef88d363e5babc9e4d3487cab93bd8af4f6309481fded7dc4de4120,conflicts,ingestion_lane_003
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0010.jsonl.gz,10729,381409,dca4f43e949fe04690fff0f0155a155d866e1cd9b9514d21e9257cba2bbf8ee2,conflicts,ingestion_lane_003
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0011.jsonl.gz,4073,154744,61e044db926d4592f776b778d786d6fab807bd9a00e9e6e2c9c3e6168678149b,conflicts,ingestion_lane_003
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0012.jsonl.gz,459,23578,480b3e0e9bdfe9db46f964a828a6d064efeb37cdd80304010b9c19f7b5740c8c,conflicts,ingestion_lane_003
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0013.jsonl.gz,10523,366952,da7878c1c41a9bea5fc18a82252464b7e6996b7d001d732356a805165c79a481,conflicts,ingestion_lane_003
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0014.jsonl.gz,3815,136553,e21e5da7613b477d75aea5b76c9f08f7a4b5f123da6ee72bcace16d146e4c712,conflicts,ingestion_lane_003
observation_shard_0015,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_003/conflicts/observation_shard_0015.jsonl.gz,1,453,ce2fb325f74084a26126bf24e6a7bfa5c92d647fce96c52788923bc4b64f369e,conflicts,ingestion_lane_003
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0000.jsonl.gz,451,21304,5b3f99a6a553558afefcb89ab9e32aef319880df9f1f1eda18b89adc6a34f213,conflicts,ingestion_lane_004
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0001.jsonl.gz,262,14443,89ee8f1a402ac475906b695e0f6abd7b6fd18c683c6be02c4c143df2d66e0e92,conflicts,ingestion_lane_004
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0002.jsonl.gz,375,17830,07a2ba6db66acc596ece9c88ef995b6c67f6c3d85ada3996182d034ed2c94b82,conflicts,ingestion_lane_004
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0003.jsonl.gz,196,8750,f77d6350d86ec0e755257732091c1a7f9ae3cddae634601e65e1ff01c079582e,conflicts,ingestion_lane_004
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0004.jsonl.gz,2230,104359,43242d9d05c17032141a57c8af98cccb6937473166e346c86d8bf83def6be03e,conflicts,ingestion_lane_004
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0005.jsonl.gz,6585,229553,b6c602fcc4d8a1b6883d161cc9a759b8e8489f54df4f93fffbff9986a7747546,conflicts,ingestion_lane_004
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0006.jsonl.gz,1001,39404,ca621a0a8f353b4627df283be4c8e82f37e2809f0d1f3f451b2c884cd3e9d424,conflicts,ingestion_lane_004
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0007.jsonl.gz,386,18970,5d5ff3d9f16e17ac9ef7533c24a49336181bd9d93f3cb16c786f1b591d9a8a0d,conflicts,ingestion_lane_004
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0008.jsonl.gz,3693,139206,8d6fda47e84f5b1d53ba35a42247f88f747e798c342335f3e9a0a161b080ab32,conflicts,ingestion_lane_004
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0009.jsonl.gz,8604,303850,1e6fe0afb6424f0fa93a911c9428f144cd92904a8bac8cfe818d49df7592ea5e,conflicts,ingestion_lane_004
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0010.jsonl.gz,10717,380659,2814ed96bde2220595be8ee0bf00a859209fc0dd1fa64c2b99ccb8b8b1c82944,conflicts,ingestion_lane_004
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0011.jsonl.gz,4081,154962,96f4d1c25dbacde0b168edba37fdda9b40739c4a703564caea22a98489951edc,conflicts,ingestion_lane_004
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0012.jsonl.gz,456,23193,d7911ad2434a59785c215f94d23ff288cf5c98e45f45068716a5716490c40376,conflicts,ingestion_lane_004
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0013.jsonl.gz,10524,366582,1ce1d75f6e6a2928ddd26bf66d3f832d65fc45d3935ecac8b5fc482259ceca98,conflicts,ingestion_lane_004
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_004/conflicts/observation_shard_0014.jsonl.gz,3824,137788,8b1bc7911cb7a060e4ebaca91174aa63d8b5a476991878c5b04b356c862839f0,conflicts,ingestion_lane_004
observation_shard_0000,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0000.jsonl.gz,464,21895,38b202c657de6a10a60e0b3873f6628ce98256779d88a3e9ea7dffc7d083a0c2,conflicts,ingestion_lane_005
observation_shard_0001,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0001.jsonl.gz,259,13805,fe1ed2a4249ca910fb72f136ea349e207ceaba2e9386f35bf209e882ec8f9de5,conflicts,ingestion_lane_005
observation_shard_0002,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0002.jsonl.gz,385,18795,dfd8ce2c8ddea45da691d4da9d88f1babfec2e6e6ab5a24d4dd68ca093309247,conflicts,ingestion_lane_005
observation_shard_0003,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0003.jsonl.gz,199,8881,a1b7db943d3066fa91f492c6def38998232095effbb5acfc709d27ddd9b82cff,conflicts,ingestion_lane_005
observation_shard_0004,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0004.jsonl.gz,2228,103785,1153453c78206a58a2a09dd131fc3357f344aad3a7fb50c6ba79703f78e916fb,conflicts,ingestion_lane_005
observation_shard_0005,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0005.jsonl.gz,6569,229225,07da251362560c5ae40862d4352fd4332cad313443d5ecc2f42833b82ed9b909,conflicts,ingestion_lane_005
observation_shard_0006,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0006.jsonl.gz,997,38289,5fcb8e4116761c50bd3f96a63911181b77ba4410796fd1ebc6eaa4e27a76d6a3,conflicts,ingestion_lane_005
observation_shard_0007,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0007.jsonl.gz,380,19147,cdcbd847dc36d85bfca9ba818affbd73d1e79bb9da57e1d282440ba6913079e3,conflicts,ingestion_lane_005
observation_shard_0008,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0008.jsonl.gz,3686,138824,4f300d6474fa0081ba63dd918bd6e4cc5a181bb0b06f38e4da66433791786483,conflicts,ingestion_lane_005
observation_shard_0009,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0009.jsonl.gz,8605,303303,c737d48f4c7942de7ec6fc317f823382fbb3e84b328e71db567fe87ef95affce,conflicts,ingestion_lane_005
observation_shard_0010,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0010.jsonl.gz,10731,381623,0cbded133f710c3ec353e02ec25c5949a98d1fdc2f4209e0c4706d9fbab64584,conflicts,ingestion_lane_005
observation_shard_0011,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0011.jsonl.gz,4092,156195,3bab151e1d878653fc8371b1ff763511b0021621e1e04ca55fcfa1b4709122a8,conflicts,ingestion_lane_005
observation_shard_0012,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0012.jsonl.gz,456,23205,6437c44a0d78a21b7b6a5ba7b6a9f74d698cd19e86d89a14316ff40bb9b0b653,conflicts,ingestion_lane_005
observation_shard_0013,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0013.jsonl.gz,10517,366859,947e68fdfade1667e550b6599f472a2a62bafbb3a34b23bbbb157843782026e0,conflicts,ingestion_lane_005
observation_shard_0014,artifacts/local_structured_external_data/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/ingested_external_layers/lanes/ingestion_lane_005/conflicts/observation_shard_0014.jsonl.gz,3827,137295,7cdaec0ac534fe7409b626aa5b4b7a009eb3d3d013ac1b42213442e8b38291ed,conflicts,ingestion_lane_005
